Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,SVI,COVID,Total,Footnote
11/3/2021,3/28/2021,4/3/2021,2021,13,4/3/2021,All U.S. Counties,4176,58559,
11/3/2021,4/4/2021,4/10/2021,2021,14,4/10/2021,Low Vulnerability,981,15151,
11/3/2021,4/4/2021,4/10/2021,2021,14,4/10/2021,Moderate Vulnerability,1633,23944,
11/3/2021,4/4/2021,4/10/2021,2021,14,4/10/2021,High Vulnerability,1678,21742,
11/3/2021,4/4/2021,4/10/2021,2021,14,4/10/2021,All U.S. Counties,4292,60852,
11/3/2021,4/11/2021,4/17/2021,2021,15,4/17/2021,Low Vulnerability,1069,14638,
11/3/2021,4/11/2021,4/17/2021,2021,15,4/17/2021,Moderate Vulnerability,1763,23433,
11/3/2021,4/11/2021,4/17/2021,2021,15,4/17/2021,High Vulnerability,1598,20922,
11/3/2021,4/11/2021,4/17/2021,2021,15,4/17/2021,All U.S. Counties,4430,59004,
11/3/2021,4/18/2021,4/24/2021,2021,16,4/24/2021,Low Vulnerability,1154,14872,
11/3/2021,4/18/2021,4/24/2021,2021,16,4/24/2021,Moderate Vulnerability,1813,23764,
11/3/2021,4/18/2021,4/24/2021,2021,16,4/24/2021,High Vulnerability,1600,21467,
11/3/2021,4/18/2021,4/24/2021,2021,16,4/24/2021,All U.S. Counties,4567,60116,
11/3/2021,4/25/2021,5/1/2021,2021,17,5/1/2021,Low Vulnerability,1004,14867,
11/3/2021,4/25/2021,5/1/2021,2021,17,5/1/2021,Moderate Vulnerability,1591,23627,
11/3/2021,4/25/2021,5/1/2021,2021,17,5/1/2021,High Vulnerability,1552,21163,
11/3/2021,4/25/2021,5/1/2021,2021,17,5/1/2021,All U.S. Counties,4147,59668,
11/3/2021,5/2/2021,5/8/2021,2021,18,5/8/2021,Low Vulnerability,895,14478,
11/3/2021,5/2/2021,5/8/2021,2021,18,5/8/2021,Moderate Vulnerability,1613,23277,
11/3/2021,5/2/2021,5/8/2021,2021,18,5/8/2021,High Vulnerability,1466,21047,
11/3/2021,5/2/2021,5/8/2021,2021,18,5/8/2021,All U.S. Counties,3974,58811,
11/3/2021,5/9/2021,5/15/2021,2021,19,5/15/2021,Low Vulnerability,858,14510,
11/3/2021,5/9/2021,5/15/2021,2021,19,5/15/2021,Moderate Vulnerability,1433,22864,
11/3/2021,5/9/2021,5/15/2021,2021,19,5/15/2021,High Vulnerability,1372,20883,
11/3/2021,5/9/2021,5/15/2021,2021,19,5/15/2021,All U.S. Counties,3663,58263,
11/3/2021,5/16/2021,5/22/2021,2021,20,5/22/2021,Low Vulnerability,711,14719,
11/3/2021,5/16/2021,5/22/2021,2021,20,5/22/2021,Moderate Vulnerability,1281,23280,
11/3/2021,5/16/2021,5/22/2021,2021,20,5/22/2021,High Vulnerability,1229,20528,
11/3/2021,5/16/2021,5/22/2021,2021,20,5/22/2021,All U.S. Counties,3221,58534,
11/3/2021,5/23/2021,5/29/2021,2021,21,5/29/2021,Low Vulnerability,595,13990,
11/3/2021,5/23/2021,5/29/2021,2021,21,5/29/2021,Moderate Vulnerability,1130,22839,
11/3/2021,5/23/2021,5/29/2021,2021,21,5/29/2021,High Vulnerability,1029,20193,
11/3/2021,5/23/2021,5/29/2021,2021,21,5/29/2021,All U.S. Counties,2754,57036,
11/3/2021,5/30/2021,6/5/2021,2021,22,6/5/2021,Low Vulnerability,516,14272,
11/3/2021,5/30/2021,6/5/2021,2021,22,6/5/2021,Moderate Vulnerability,938,22577,
11/3/2021,5/30/2021,6/5/2021,2021,22,6/5/2021,High Vulnerability,881,20061,
11/3/2021,5/30/2021,6/5/2021,2021,22,6/5/2021,All U.S. Counties,2335,56920,
11/3/2021,6/6/2021,6/12/2021,2021,23,6/12/2021,Low Vulnerability,461,14100,
11/3/2021,6/6/2021,6/12/2021,2021,23,6/12/2021,Moderate Vulnerability,789,22371,
11/3/2021,6/6/2021,6/12/2021,2021,23,6/12/2021,High Vulnerability,774,19981,
11/3/2021,6/6/2021,6/12/2021,2021,23,6/12/2021,All U.S. Counties,2024,56463,
11/3/2021,6/13/2021,6/19/2021,2021,24,6/19/2021,Low Vulnerability,384,13968,
11/3/2021,6/13/2021,6/19/2021,2021,24,6/19/2021,Moderate Vulnerability,674,22599,
11/3/2021,6/13/2021,6/19/2021,2021,24,6/19/2021,High Vulnerability,700,20144,
11/3/2021,6/13/2021,6/19/2021,2021,24,6/19/2021,All U.S. Counties,1758,56715,
11/3/2021,6/20/2021,6/26/2021,2021,25,6/26/2021,Low Vulnerability,344,13927,
11/3/2021,6/20/2021,6/26/2021,2021,25,6/26/2021,Moderate Vulnerability,637,22442,
11/3/2021,6/20/2021,6/26/2021,2021,25,6/26/2021,High Vulnerability,636,20050,
11/3/2021,6/20/2021,6/26/2021,2021,25,6/26/2021,All U.S. Counties,1618,56429,
11/3/2021,6/27/2021,7/3/2021,2021,26,7/3/2021,Low Vulnerability,321,14360,
11/3/2021,6/27/2021,7/3/2021,2021,26,7/3/2021,Moderate Vulnerability,594,22312,
11/3/2021,6/27/2021,7/3/2021,2021,26,7/3/2021,High Vulnerability,601,19956,
11/3/2021,6/27/2021,7/3/2021,2021,26,7/3/2021,All U.S. Counties,1517,56641,
11/3/2021,7/4/2021,7/10/2021,2021,27,7/10/2021,Low Vulnerability,314,14001,
11/3/2021,7/4/2021,7/10/2021,2021,27,7/10/2021,Moderate Vulnerability,612,21916,
11/3/2021,7/4/2021,7/10/2021,2021,27,7/10/2021,High Vulnerability,694,20114,
11/3/2021,7/4/2021,7/10/2021,2021,27,7/10/2021,All U.S. Counties,1620,56040,
11/3/2021,7/11/2021,7/17/2021,2021,28,7/17/2021,Low Vulnerability,358,14006,
11/3/2021,7/11/2021,7/17/2021,2021,28,7/17/2021,Moderate Vulnerability,738,21851,
11/3/2021,7/11/2021,7/17/2021,2021,28,7/17/2021,High Vulnerability,866,20166,
11/3/2021,7/11/2021,7/17/2021,2021,28,7/17/2021,All U.S. Counties,1962,56032,
11/3/2021,7/18/2021,7/24/2021,2021,29,7/24/2021,Low Vulnerability,417,14298,
11/3/2021,7/18/2021,7/24/2021,2021,29,7/24/2021,Moderate Vulnerability,1118,22534,
11/3/2021,7/18/2021,7/24/2021,2021,29,7/24/2021,High Vulnerability,1196,20368,
11/3/2021,7/18/2021,7/24/2021,2021,29,7/24/2021,All U.S. Counties,2731,57210,
11/3/2021,7/25/2021,7/31/2021,2021,30,7/31/2021,Low Vulnerability,588,14560,
11/3/2021,7/25/2021,7/31/2021,2021,30,7/31/2021,Moderate Vulnerability,1530,23050,
11/3/2021,7/25/2021,7/31/2021,2021,30,7/31/2021,High Vulnerability,1929,21377,
11/3/2021,7/25/2021,7/31/2021,2021,30,7/31/2021,All U.S. Counties,4048,58995,
11/3/2021,8/1/2021,8/7/2021,2021,31,8/7/2021,Low Vulnerability,890,15073,
11/3/2021,8/1/2021,8/7/2021,2021,31,8/7/2021,Moderate Vulnerability,2574,24441,
11/3/2021,8/1/2021,8/7/2021,2021,31,8/7/2021,High Vulnerability,2893,22223,
11/3/2021,8/1/2021,8/7/2021,2021,31,8/7/2021,All U.S. Counties,6357,61746,
11/3/2021,8/8/2021,8/14/2021,2021,32,8/14/2021,Low Vulnerability,1233,15347,
11/3/2021,8/8/2021,8/14/2021,2021,32,8/14/2021,Moderate Vulnerability,3630,25364,
11/3/2021,8/8/2021,8/14/2021,2021,32,8/14/2021,High Vulnerability,4313,24152,
11/3/2021,8/8/2021,8/14/2021,2021,32,8/14/2021,All U.S. Counties,9176,64876,
11/3/2021,8/15/2021,8/21/2021,2021,33,8/21/2021,Low Vulnerability,1623,15636,
11/3/2021,8/15/2021,8/21/2021,2021,33,8/21/2021,Moderate Vulnerability,4689,26593,
11/3/2021,8/15/2021,8/21/2021,2021,33,8/21/2021,High Vulnerability,5572,25262,
11/3/2021,8/15/2021,8/21/2021,2021,33,8/21/2021,All U.S. Counties,11884,67503,
11/3/2021,8/22/2021,8/28/2021,2021,34,8/28/2021,Low Vulnerability,2023,15960,
11/3/2021,8/22/2021,8/28/2021,2021,34,8/28/2021,Moderate Vulnerability,5276,27047,
11/3/2021,8/22/2021,8/28/2021,2021,34,8/28/2021,High Vulnerability,6482,26128,
11/3/2021,8/22/2021,8/28/2021,2021,34,8/28/2021,All U.S. Counties,13782,69148,
11/3/2021,8/29/2021,9/4/2021,2021,35,9/4/2021,Low Vulnerability,2221,16355,
11/3/2021,8/29/2021,9/4/2021,2021,35,9/4/2021,Moderate Vulnerability,5838,27469,
11/3/2021,8/29/2021,9/4/2021,2021,35,9/4/2021,High Vulnerability,6906,26243,
11/3/2021,8/29/2021,9/4/2021,2021,35,9/4/2021,All U.S. Counties,14965,70076,
11/3/2021,9/5/2021,9/11/2021,2021,36,9/11/2021,Low Vulnerability,2309,16358,
11/3/2021,9/5/2021,9/11/2021,2021,36,9/11/2021,Moderate Vulnerability,5809,27388,
11/3/2021,9/5/2021,9/11/2021,2021,36,9/11/2021,High Vulnerability,6653,26031,
11/3/2021,9/5/2021,9/11/2021,2021,36,9/11/2021,All U.S. Counties,14771,69784,
11/3/2021,9/12/2021,9/18/2021,2021,37,9/18/2021,Low Vulnerability,2613,16772,
11/3/2021,9/12/2021,9/18/2021,2021,37,9/18/2021,Moderate Vulnerability,5654,27098,
11/3/2021,9/12/2021,9/18/2021,2021,37,9/18/2021,High Vulnerability,6258,25213,
11/3/2021,9/12/2021,9/18/2021,2021,37,9/18/2021,All U.S. Counties,14526,69089,
11/3/2021,9/19/2021,9/25/2021,2021,38,9/25/2021,Low Vulnerability,2560,16284,
11/3/2021,9/19/2021,9/25/2021,2021,38,9/25/2021,Moderate Vulnerability,5240,26528,
11/3/2021,9/19/2021,9/25/2021,2021,38,9/25/2021,High Vulnerability,5620,24146,
11/3/2021,9/19/2021,9/25/2021,2021,38,9/25/2021,All U.S. Counties,13420,66962,
11/3/2021,9/26/2021,10/2/2021,2021,39,10/2/2021,Low Vulnerability,2355,16443,
11/3/2021,9/26/2021,10/2/2021,2021,39,10/2/2021,Moderate Vulnerability,4583,25228,
11/3/2021,9/26/2021,10/2/2021,2021,39,10/2/2021,High Vulnerability,4607,22568,
11/3/2021,9/26/2021,10/2/2021,2021,39,10/2/2021,All U.S. Counties,11545,64245,
11/3/2021,10/3/2021,10/9/2021,2021,40,10/9/2021,Low Vulnerability,2217,15318,
11/3/2021,10/3/2021,10/9/2021,2021,40,10/9/2021,Moderate Vulnerability,3718,23170,
11/3/2021,10/3/2021,10/9/2021,2021,40,10/9/2021,High Vulnerability,3653,20176,
11/3/2021,10/3/2021,10/9/2021,2021,40,10/9/2021,All U.S. Counties,9588,58666,
11/3/2021,10/10/2021,10/16/2021,2021,41,10/16/2021,Low Vulnerability,1889,13784,
11/3/2021,10/10/2021,10/16/2021,2021,41,10/16/2021,Moderate Vulnerability,2928,19860,
11/3/2021,10/10/2021,10/16/2021,2021,41,10/16/2021,High Vulnerability,2461,16154,
11/3/2021,10/10/2021,10/16/2021,2021,41,10/16/2021,All U.S. Counties,7279,49800,
11/3/2021,10/17/2021,10/23/2021,2021,42,10/23/2021,Low Vulnerability,1222,10192,
11/3/2021,10/17/2021,10/23/2021,2021,42,10/23/2021,Moderate Vulnerability,1959,14398,
11/3/2021,10/17/2021,10/23/2021,2021,42,10/23/2021,High Vulnerability,1451,11315,
11/3/2021,10/17/2021,10/23/2021,2021,42,10/23/2021,All U.S. Counties,4632,35906,
11/3/2021,10/24/2021,10/30/2021,2021,43,10/30/2021,Low Vulnerability,547,4899,
11/3/2021,10/24/2021,10/30/2021,2021,43,10/30/2021,Moderate Vulnerability,718,6545,
11/3/2021,10/24/2021,10/30/2021,2021,43,10/30/2021,High Vulnerability,472,4500,
11/3/2021,10/24/2021,10/30/2021,2021,43,10/30/2021,All U.S. Counties,1737,15945,
