Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,SVI,COVID,Total,Footnote
11/3/2021,3/15/2020,3/21/2020,2020,12,3/21/2020,Moderate Vulnerability,222,23417,
11/3/2021,3/15/2020,3/21/2020,2020,12,3/21/2020,High Vulnerability,207,20910,
11/3/2021,3/15/2020,3/21/2020,2020,12,3/21/2020,All U.S. Counties,588,59204,
11/3/2021,3/22/2020,3/28/2020,2020,13,3/28/2020,Low Vulnerability,800,15905,
11/3/2021,3/22/2020,3/28/2020,2020,13,3/28/2020,Moderate Vulnerability,1296,24607,
11/3/2021,3/22/2020,3/28/2020,2020,13,3/28/2020,High Vulnerability,1119,22481,
11/3/2021,3/22/2020,3/28/2020,2020,13,3/28/2020,All U.S. Counties,3215,63000,
11/3/2021,3/29/2020,4/4/2020,2020,14,4/4/2020,Low Vulnerability,2304,17873,
11/3/2021,3/29/2020,4/4/2020,2020,14,4/4/2020,Moderate Vulnerability,3888,28539,
11/3/2021,3/29/2020,4/4/2020,2020,14,4/4/2020,High Vulnerability,3934,25840,
11/3/2021,3/29/2020,4/4/2020,2020,14,4/4/2020,All U.S. Counties,10126,72262,
11/3/2021,4/5/2020,4/11/2020,2020,15,4/11/2020,Low Vulnerability,4076,19964,
11/3/2021,4/5/2020,4/11/2020,2020,15,4/11/2020,Moderate Vulnerability,6391,30965,
11/3/2021,4/5/2020,4/11/2020,2020,15,4/11/2020,High Vulnerability,5851,28123,
11/3/2021,4/5/2020,4/11/2020,2020,15,4/11/2020,All U.S. Counties,16318,79062,
11/3/2021,4/12/2020,4/18/2020,2020,16,4/18/2020,Low Vulnerability,4786,20068,
11/3/2021,4/12/2020,4/18/2020,2020,16,4/18/2020,Moderate Vulnerability,6535,29843,
11/3/2021,4/12/2020,4/18/2020,2020,16,4/18/2020,High Vulnerability,5877,26866,
11/3/2021,4/12/2020,4/18/2020,2020,16,4/18/2020,All U.S. Counties,17198,76781,
11/3/2021,4/19/2020,4/25/2020,2020,17,4/25/2020,Low Vulnerability,4577,19409,
11/3/2021,4/19/2020,4/25/2020,2020,17,4/25/2020,Moderate Vulnerability,5887,28806,
11/3/2021,4/19/2020,4/25/2020,2020,17,4/25/2020,High Vulnerability,5087,25659,
11/3/2021,4/19/2020,4/25/2020,2020,17,4/25/2020,All U.S. Counties,15551,73882,
11/3/2021,4/26/2020,5/2/2020,2020,18,5/2/2020,Low Vulnerability,3869,18308,
11/3/2021,4/26/2020,5/2/2020,2020,18,5/2/2020,Moderate Vulnerability,5015,26839,
11/3/2021,4/26/2020,5/2/2020,2020,18,5/2/2020,High Vulnerability,4329,24126,
11/3/2021,4/26/2020,5/2/2020,2020,18,5/2/2020,All U.S. Counties,13213,69282,
11/3/2021,5/3/2020,5/9/2020,2020,19,5/9/2020,Low Vulnerability,3238,16994,
11/3/2021,5/3/2020,5/9/2020,2020,19,5/9/2020,Moderate Vulnerability,4242,26493,
11/3/2021,5/3/2020,5/9/2020,2020,19,5/9/2020,High Vulnerability,3753,23296,
11/3/2021,5/3/2020,5/9/2020,2020,19,5/9/2020,All U.S. Counties,11233,66796,
11/3/2021,5/10/2020,5/16/2020,2020,20,5/16/2020,Low Vulnerability,2508,16474,
11/3/2021,5/10/2020,5/16/2020,2020,20,5/16/2020,Moderate Vulnerability,3552,25164,
11/3/2021,5/10/2020,5/16/2020,2020,20,5/16/2020,High Vulnerability,3172,22806,
11/3/2021,5/10/2020,5/16/2020,2020,20,5/16/2020,All U.S. Counties,9232,64448,
11/3/2021,5/17/2020,5/23/2020,2020,21,5/23/2020,Low Vulnerability,1866,15344,
11/3/2021,5/17/2020,5/23/2020,2020,21,5/23/2020,Moderate Vulnerability,2808,24360,
11/3/2021,5/17/2020,5/23/2020,2020,21,5/23/2020,High Vulnerability,2573,21890,
11/3/2021,5/17/2020,5/23/2020,2020,21,5/23/2020,All U.S. Counties,7247,61602,
11/3/2021,5/24/2020,5/30/2020,2020,22,5/30/2020,Low Vulnerability,1497,14894,
11/3/2021,5/24/2020,5/30/2020,2020,22,5/30/2020,Moderate Vulnerability,2396,23410,
11/3/2021,5/24/2020,5/30/2020,2020,22,5/30/2020,High Vulnerability,2277,21320,
11/3/2021,5/24/2020,5/30/2020,2020,22,5/30/2020,All U.S. Counties,6170,59636,
